employee_id,first_name,last_name,email,phone,role,branch_id,hire_date,monthly_salary_mxn
EMP0001,María,Sánchez Cruz,maría.sánchez@bankdemo.mx,5557683626,Back Office,BR001,2017-08-11,16664
EMP0002,Luis,Ramírez Martínez,luis.ramírez@bankdemo.mx,5595899313,Asesor/a de Créditos,BR001,2016-12-01,20010
EMP0003,Lucía,Sánchez Flores,lucía.sánchez@bankdemo.mx,5518883684,Back Office,BR001,2023-09-14,20572
EMP0004,Héctor,Flores Rodríguez,héctor.flores@mail.mx,5585345555,Asesor/a de Créditos,BR002,2019-06-09,18340
EMP0005,Lucía,Ramírez Domínguez,lucía.ramírez@examplebank.mx,5516323852,Ejecutivo/a de Cuenta,BR002,2021-07-18,20930
EMP0006,Ana,González Pérez,ana.gonzález@mail.mx,5543744231,Seguridad,BR002,2019-09-26,12881
EMP0007,Lucía,García López,lucía.garcía@bankdemo.mx,5531227574,Gerente,BR002,2021-01-08,49146
EMP0008,Carlos,Ramírez Reyes,carlos.ramírez@examplebank.mx,5530513739,Seguridad,BR003,2020-09-10,12158
EMP0009,Daniela,Pérez Torres,daniela.pérez@bankdemo.mx,5551273847,Back Office,BR003,2020-12-12,15832
EMP0010,Sofía,Hernández Sánchez,sofía.hernández@examplebank.mx,5527232410,Back Office,BR003,2015-11-19,22727
EMP0011,Paola,Torres Pérez,paola.torres@bankdemo.mx,5597225156,Ejecutivo/a de Cuenta,BR003,2021-10-20,18470
EMP0012,Daniela,Morales Reyes,daniela.morales@examplebank.mx,5588979095,Ejecutivo/a de Cuenta,BR003,2017-10-12,16049
EMP0013,Sofía,García Martínez,sofía.garcía@examplebank.mx,5547376585,Gerente,BR003,2015-08-30,48827
EMP0014,Luis,Torres González,luis.torres@examplebank.mx,5522660194,Gerente,BR004,2021-05-27,63710
EMP0015,Ana,Vázquez Gómez,ana.vázquez@bankdemo.mx,5555540424,Ejecutivo/a de Cuenta,BR004,2020-03-27,15887
EMP0016,Ana,Sánchez Rodríguez,ana.sánchez@examplebank.mx,5569476001,Cajero/a,BR004,2020-01-12,10148
EMP0017,Lucía,López Hernández,lucía.lópez@bankdemo.mx,5574606833,Asesor/a de Créditos,BR004,2021-01-23,28346
EMP0018,Luis,Díaz Hernández,luis.díaz@bankdemo.mx,5584593961,Cajero/a,BR004,2015-01-09,12198
EMP0019,Paola,González Rodríguez,paola.gonzález@examplebank.mx,5588406989,Ejecutivo/a de Cuenta,BR004,2015-08-28,27054
EMP0020,Eduardo,Reyes Pérez,eduardo.reyes@bankdemo.mx,5526090908,Cajero/a,BR005,2020-09-11,9656
EMP0021,Héctor,Sánchez Domínguez,héctor.sánchez@bankdemo.mx,5544999379,Asesor/a de Créditos,BR005,2021-12-11,26770
EMP0022,Luis,Flores Sánchez,luis.flores@examplebank.mx,5571510041,Ejecutivo/a de Cuenta,BR005,2016-06-20,25575
